COUNTYFP,population,n_blocks,max_time_min,max_dist_km,mean_time_min,mean_dist_km,COUNTY_NAME,has_facility
48361,84240,2719,91.21558,148.72592,75.5607516328607,129.23031085504311,Orange,False
48199,56008,2131,86.88909,134.8585,71.90370340882633,115.38361774848336,Hardin,False
48109,2165,1046,128.83829,184.15242,68.74331844232925,141.48829085634156,Culberson,False
48051,17318,1020,85.746155,118.478546,68.3399837157759,102.72300847004297,Burleson,False
48443,760,552,126.096756,181.50568,64.73223963285747,110.74471817016601,Terrell,False
48191,2820,945,90.98394,128.961,64.18036931085248,101.02903037916684,Hall,False
48395,16529,1356,77.636185,120.226364,61.98360169908227,102.51050160932083,Robertson,False
48377,6079,1513,175.61946,222.9943,61.92206526924305,108.4505022660469,Presidio,False
48245,255124,8257,112.76438,166.27858,61.57029195696915,103.96717589813724,Jefferson,False
48101,1306,548,84.394516,132.34059,61.09866445170427,102.11166232285784,Cottle,False
48383,3373,869,99.89566,142.42186,60.567305481472744,107.56767952989973,Reagan,False
48129,3248,1018,97.268234,126.247925,58.03973103391713,100.83383604106058,Donley,False
48351,11980,1147,91.19714,143.33397,57.60072677672805,92.01547344411554,Newton,False
48125,1759,610,83.3144,115.63219,57.06027604233751,99.68117052157403,Dickens,False
48311,594,431,83.974304,111.144226,55.83581992512199,83.34344217833446,McMullen,False
48457,19216,1245,81.88692,121.044365,55.68745659749573,91.36017620811653,Tyler,False
48247,4813,753,88.53244,117.0892,55.56766586573189,89.59199899926692,Jim Hogg,False
48229,3186,1285,137.69026,199.83168,54.926316302000764,102.1114358249432,Hudspeth,False
48007,23815,1178,79.21787,120.82022,52.601891657676916,83.7247309333758,Aransas,False
48119,5230,571,64.01166,100.71471,52.09085396717429,87.91362116359616,Delta,False
48075,6664,940,87.49754,119.2142,51.79268088231997,92.96950167968494,Childress,False
48041,233849,3451,70.68963,110.37781,50.37391910496129,85.50639284957039,Brazos,False
48277,50002,2034,75.506226,116.91686,49.381077151552,82.15187791429383,Lamar,False
48379,12164,420,58.689472,92.37814,49.26145801462652,79.6386382386152,Rains,False
48137,1393,712,90.43217,109.82869,48.26338821953351,77.09441711469597,Edwards,False
48331,24523,1673,78.08672,111.05929,47.96396843175566,73.68793117885794,Milam,False
48287,16845,839,66.7329,99.98681,47.91666277236916,75.6214286602651,Lee,False
48263,709,404,83.194145,103.05627,47.565023500256885,84.09194815007521,Kent,False
48105,3095,1151,131.17638,167.11584,47.41109920310666,78.58417975898706,Crockett,False
48505,13857,1005,83.809,107.936424,47.20287832945742,79.32893009327566,Zapata,False
48241,32770,1537,93.18461,140.23175,46.375226120050996,79.30353663354012,Jasper,False
48477,35338,1298,79.42769,107.980835,46.3602498855647,66.2307341302134,Washington,False
48307,7610,1367,76.1027,97.708725,44.977957047300805,70.82941440075989,McCulloch,False
48345,1061,531,83.07526,112.348,44.44922550751509,69.97087471087399,Motley,False
48385,2630,501,70.99295,100.537994,43.629334808755736,68.41158226071202,Real,False
48461,3308,1024,77.36769,116.73803,43.395774113656245,78.52719726354928,Upton,False
48373,49852,2389,75.883934,112.87273,42.78552200839558,68.8686402174019,Polk,False
48289,15320,1331,65.699196,103.091805,42.653168434636086,69.85212613397105,Leon,False
48087,2644,815,84.658745,113.43053,42.14933270657838,69.78022784003691,Collingsworth,False
48323,57704,1669,74.12632,92.3562,41.98398381930258,70.44568292843094,Maverick,False
48433,1232,740,79.1505,106.733315,41.54738112084277,64.03038330511613,Stonewall,False
48409,68729,2543,57.432796,93.48224,41.534893467566825,70.7304710009428,San Patricio,False
48387,11501,1187,80.21136,100.553696,40.36223396916212,57.19983992839044,Red River,False
48293,22009,1515,68.2544,100.83078,40.05584683639913,60.93719621670718,Limestone,False
48315,9692,943,63.869408,93.90632,38.79708866339009,54.50932950339827,Marion,False
48269,262,446,78.24515,103.62188,38.71233445815458,60.57267052162695,King,False
48431,1350,548,78.95983,111.732124,38.5976777182685,70.8365823703342,Sterling,False
48231,98020,3726,60.62155,92.83285,38.17803933214251,59.50649333176285,Hunt,False
48031,11164,892,51.413307,73.16008,37.999634850371145,56.472891510963784,Blanco,False
48095,3253,670,70.551476,91.127525,37.98870748583808,66.31157545833781,Concho,False
48047,7069,722,93.21074,116.92896,37.87381400446825,61.297849014331874,Brooks,False
48419,23931,1409,59.861816,82.17522,37.340823793803786,55.25439497750151,Shelby,False
48355,348728,6667,78.62973,120.34696,36.51286003356413,61.43927125347634,Nueces,False
48333,4369,488,54.496742,79.44355,35.954932012228376,52.78681989326224,Mills,False
48093,13501,1312,57.926525,86.351906,35.85431548163022,56.21818366254509,Comanche,False
48045,1422,551,92.07368,122.06801,35.805103499175125,53.062852840718676,Briscoe,False
48223,36787,1560,60.51238,90.72027,35.46440863108328,64.04439684181152,Hopkins,False
48161,19314,1327,55.60245,79.14572,35.312315882492896,55.859614003503296,Freestone,False
48173,1072,467,54.861095,84.549736,35.123944245167635,54.71155546138536,Glasscock,False
48033,627,538,58.16515,89.90966,35.064169316390675,53.05333948211427,Borden,False
48391,6722,721,62.323326,85.57976,34.62672603985129,53.725370000211015,Refugio,False
48185,29204,1288,61.57338,91.64265,34.59463299302071,54.69415590263788,Grimes,False
48133,17568,1817,57.760456,82.60697,34.51217362724367,51.794096116051215,Eastland,False
48243,1988,524,109.00243,161.02898,34.497971114977986,53.185402447069194,Jeff Davis,False
48499,43375,2147,54.25677,87.081375,34.20008694655888,54.04525836344342,Wood,False
48255,14684,1096,58.84569,84.78708,33.86106954235304,55.29913314361073,Karnes,False
48411,5702,848,70.88102,80.60178,33.71281496878885,53.162391302001055,San Saba,False
48019,19784,1047,59.679077,79.668655,33.37156326039041,47.495896348478915,Bandera,False
48365,22431,1188,59.552063,86.23443,33.33810212986186,49.7242406391278,Panola,False
48393,812,439,77.65597,93.06858,33.20822449857965,58.28709784634595,Roberts,False
48489,20164,1606,80.930046,108.93482,33.17489726948752,50.6115638649291,Willacy,False
48319,3901,553,61.909283,78.22436,33.1703777308343,57.5895821425402,Mason,False
48467,59241,1961,51.540977,75.0739,33.09803471175911,50.30024310240608,Van Zandt,False
48053,48770,2674,52.521103,71.54168,32.990746815360566,48.31510702891503,Burnet,False
48107,5125,1093,68.890724,94.2423,32.80551965294815,54.071054784263055,Crosby,False
48297,11301,999,55.696598,87.92391,32.76479807854458,48.24895966967569,Live Oak,False
48225,21792,1254,53.293396,78.995575,32.75372777732633,50.657720150313885,Houston,False
48211,3369,633,67.02803,107.70934,32.753158242103076,55.96255562630277,Hemphill,False
48143,40506,1599,61.953316,83.29845,32.69947195731169,51.359590725622574,Erath,False
48011,1842,552,83.50184,114.33463,32.4768436962049,54.41853143234336,Armstrong,False
48407,26309,1063,54.001644,79.43161,32.37219855137329,49.295816170810866,San Jacinto,False
48145,16956,1394,57.43562,88.82293,32.310045666446044,48.81746642334784,Falls,False
48013,48672,1847,66.01234,101.38903,32.280987222871836,48.603910020117226,Atascosa,False
48021,96122,2540,54.348118,82.94076,32.07807538254436,48.85747121842384,Bastrop,False
48179,21195,1830,61.766438,88.67677,31.9877639986485,49.9256424909494,Gray,False
48301,59,122,61.5008,94.89682,31.806874453011204,49.38411557472358,Loving,False
48481,41252,2373,54.62962,74.800545,31.66299886522244,47.16868902482638,Wharton,False
48421,2781,662,62.51136,94.45173,31.365107533229594,55.80031384533577,Sherman,False
48147,35570,2152,65.67459,95.299614,30.901699720114042,51.03427332185579,Fannin,False
48103,4675,475,63.078598,81.48388,30.56483339993074,51.17265897434663,Crane,False
48035,17738,1694,48.018326,65.581215,30.434390519138173,46.348767537142706,Bosque,False
